t,ax,ay,az,gx,gy,gz,dist
0,0,0,0,0,0,0,0
1,0.027404960942911893,-0.1685401884596745,-0.022972657618201733,0.41692528590314615,0.1600244697708148,0.09264426726676953,0.1104716851858143
2,-0.13098927607722766,-0.05443404791275627,0.055034889438280415,-0.18552993596122846,-0.16673946599396736,0.04459342202961661,0.40718972478169896
3,-0.034265911085486045,-0.14037914177825359,0.038505114442722754,-0.3227185715954802,0.09233397873453397,-0.04406039324517155,0.08955121447618802
4,0.4489142007897208,0.054957637742439946,0.050586486789982094,-0.07670480698568927,-0.053987195033469604,-0.08173172759999142,0.024145865203920147
5,0.09178408414305705,-0.12937917636713236,-0.004507687269759503,0.3907571087530517,0.13470606246226713,0.08164429159633643,0.2879201315961829
6,0.6869928806440359,0.043764244615618564,0.07148258162364104,-0.5442636958702858,-0.13474163388421556,-0.0029654904147841804,0.1735626707850822
7,-0.08912502183127957,0.09385841011148965,0.09153340248419414,-0.3945778669039276,0.04441074602827744,-0.01753208117483547,-0.15274446988882412
8,0.007320775888212339,0.03854797325072909,0.029998178811275283,-0.16124314223196567,-0.042568000102330694,0.03611702739588768,0.44319705900914214
9,0.624151455139829,-0.0967320986132016,0.0555009218561435,-0.3414944795851948,-0.13937616865597113,0.07961142777044236,0.09032247419628114
10,0.7703647854158499,0.08217730339382112,0.03049856724202471,0.4992358517106493,-0.06994461990373685,0.09230905542627041,0.2814291277306956
11,0.019743337478152267,0.11890313483474091,-0.05695647584375699,0.42499495254907715,-0.002143462483944397,-0.04562328903223559,0.4102245081462132
12,0.618714964080057,0.13014214925674855,-0.051255978341420885,0.032592932035699684,0.18803914916428238,0.002927379718859105,0.3917727965631142
13,0.14087980852174442,-0.0733682380986771,0.09399378547034953,0.5433328547020925,-0.04254142676718864,0.09657172779234133,0.49714410111569046
14,0.25153317123306995,-0.12656888564936133,0.07338684712567356,0.574061743423162,0.11628713257343964,-0.008727102140720408,-0.12362142500351431
15,-0.2691828820588612,0.1469881210445786,-0.008364471516657646,-0.5743345010181532,-0.1489012618897294,0.034248069231320566,0.16671926444814372
16,-0.34795396340922913,-0.18508206443539535,-0.0017022324053342225,-0.4570211181375857,0.01427186087670601,-0.09904180870545323,0.40177133036342955
17,0.6658961192544691,0.18840504620966375,0.02728156946934132,0.34178221278731646,0.09904463495429228,-0.03486372613485747,-0.1628834611729914
18,0.5672619937030249,-0.038049586971481864,0.06167407641358408,-0.21828893387357096,-0.17099013567510407,-0.027725004784898463,0.05784637865016584
19,0.5359002396933227,0.011313108989596865,0.05483395994098467,-0.518111646292568,-0.12489670047169384,-0.07398232287580558,0.24528452982326282
20,-0.4374610371477018,-0.19016721491083388,0.08113822678021046,0.29768488847802066,0.08107959343553905,0.07702542402326903,0.18033558082927387
21,-0.2176823716273762,0.17601636736760806,-0.015238832883805786,-0.570364280082158,0.06821742861325242,-0.08446252891097361,0.026550896108833738
22,0.6107854135864229,0.11004871804548355,0.08696874486133199,0.4723639186790042,0.08816623904831644,0.025639098112759023,0.054029553157362686
23,0.20137456291368305,-0.005052330872438698,0.06128125319427977,0.28821329691297326,0.05763008941040859,-0.08896326254078242,-0.101652790420445
24,-0.1492614610920126,0.008404994900434837,0.02015228137895897,-0.2786630599243112,-0.12966221854548668,0.003926332757390447,0.08370893587792366
25,-0.17412521246299262,0.11729124159257537,0.043665711896288484,0.052372544583137004,0.14445751583230404,-0.09139272861826785,0.2875839476781742
26,-0.3487507735210367,0.12197386729492538,0.02248171442241123,-0.21642336991886557,-0.07489443110776847,0.08178665570898369,0.43178067131166503
27,0.4808614433455648,0.1491220768470023,0.07442737774255637,0.4113121999573611,0.026996135981733532,-0.005779599582284509,0.2044223560550234
